JobTitle,Company,Location,Salary,PostDate,DateRetrieved,Summary,JobUrl
Senior Data Scientist (Remote-friendly),Noom Inc.,"New York, NY",,30+ days ago,2020-11-21,You’ll get three weeks’ paid vacation and a flexible work policy that is remote- and family-friendly (about 50% of our engineering team is fully remote).,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CTxeckkshV_qNgr-yNuagKfX03aAeBqs32sUcG_UJIPIjYU0UajryV_EusYlMIwVmryGJfMvNrflvuRyfQ_iXTShJMpvwto9vZFA3s1-B4DqYIzzoRBfZUsaU34hNtcIKPNbHASdbN28jnAwVO9yeZNxviapkp0lGLP_Ruc0MrSHO7c3c6_PrxmSiz3n4oqDh_34YWuKhOZyXx_jKcEex606InNyy6-wDDJ3E3BU8D1emSL-SN2kpQpSfgrRnoUoQX-aa996Y-5v-tzIEhiAa9fxz_RCYxiNALBHqI8T0I-XVOpS24CUG7j12lxQE2DujDkFANf3TpLaZ739jETPaH0Nvhb-tHU8c4GkVFdnYcVi8AkkUPsS9xGFCN3VsjUpfMYFlOp_wUwTFottBohdsqWmi6QSkGhkE=&p=0&fvj=1&vjs=3
Data Scientist,Medarcus,United States,$25 - $45 an hour,26 days ago,2020-11-21,"Medarcus is hiring a Data Scientist to assist in solving specific problems with healthcare data such as duplicate records, quality assessments, advanced data…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0APoG0fButbj5Kcz8em-qdhcmiTWQZJzaY9hdlrXctHw0aFE_2mkrjykTfwPtwx1Pq1U2uGfQe-Ch6eyhQY71Rq77my_9j4hC7A54YQ9KenrtZIVgaLhSOb2439Jw7dt5eIVqJ9LXGvFakJZ66X8sTRPYH1bKqKvVBwf6Qbn4EiK-XXRTMAdILM6TqajAZcQ6wAZ0Q8VoWzmfk7A-92qR_AxiO7pdN549AiU2zjzWPm8VAnl8z5IxnhehjNyol6zLnj1YM71ubm74pM8UIh0zq98ZxWAdIYQmAJmtGG_Wqb76upLNuR3dssceDILJUVZLnm6Q72QrTtHr1PBdmU6XFbVFNqX_LEa6x1BsSL2RT5poDdzNtcobK8v6gIN7SsOnuqySCYsRlp_8HHvbbKtj3PkYNyHCMK9zqfXTsrBkGD43vCpBPCH6YlAAbKoO2cIFUyzYQBNld5qg==&p=1&fvj=1&vjs=3
"Data Scientist, Private Equity (NYC or San Francisco)","CDG Management, LLC","New York, NY","$125,000 - $300,000 a year",3 days ago,2020-11-21,"Prior experience working directly with alternative data in quantitative research at a hedge fund, business consultancy, data vendor, or data aggregator/reseller…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DFbdJC5UfxJC04U3-a808T3uMVqCeqHhHILHTZBBi6LX8pPe1Z7kvroMhKZYKvkZ6WsKV9EJDB5qzTArbF2Ijwu9mfxJbwFoPcA50BRs-aC_9OOrrC_l7-yaltprPCD19u6ArHdXFfdtW67fakNeoMVsxtP4EYi3h5Lo3iP-k6AA9PW9x8c853DwkPyeUIzavZM3x2Cp9x-2wGQ1xagXtTFTBtB_fWFYM0Pejxjk2rPo2CDSwUd5CIQYv5CfUHcbvCVB0EhYSK1tvdkDdiNGzxPo7V0jNkbj-dhDGug-ee5aqms21mtzJvgTqzlQLzoC7lh2hXnTP3_8K18pMmu6GFud6uGCjbFKurIwtFnLF1tS-txWCI4I9vEYZVRmfKImqv7NTLvs_9HmNSQgmhtdJdw1n0-4eZzRnqMlbD8VTaqNQyqN9zroNaaNDmwXE3HcDaPpDXKnOwemG-wcf4VeS12nHz9ci9U6pQO4pb4dv29zKR9k6cLG94&p=2&fvj=1&vjs=3
NLP Data Scientist Internship (REMOTE),Vee,New York State,,27 days ago,2020-11-21,"You will help build Vee's data capability and data strategy.
Solid background in data mining and statistical analysis.",https://www.indeed.com/rc/clk?jk=725fc70c4bf910ea&fccid=4f11fda3f02f70cd&vjs=3
"Staff Data Scientist for Risk Based Authentication (New York, NY) (Remote Eligible)",Okta,New York State,,30+ days ago,2020-11-21,"Work with Infrastructure team on tooling requirements for big data.
5+ years experience building data models as a Data Scientist.",https://www.indeed.com/rc/clk?jk=11bc8536489632cf&fccid=4049a78a6232aa5c&vjs=3
Lead Data Scientist,Deep Labs,"New York, NY",,Today,2020-11-21,"Identify opportunities to enrich and integrate data from multiple, diverse sources.
Strong knowledge and experience of Python (preferred) or R, and associated…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dfw7I0ofaTn6fCJEZLEvKDdlXRvX8AkzymIxmh_t_URz8VYXeDyjEG_iOTiTvlehYobRmL-pEhsap3CYkTZMvgOx1pOuE_0blnaC8OOcidmDPV37Q0NifrEyovXFNn76g6geNvIg3IsA-IIOTRMhgqm0AdHqkjQpbldfc-QOcLvFo3X9tYqTpR2BndU8cjd_oljr49Ncxf0mxKVKbMC9_64h2Roh8MyP4PIQzWtMcMSWNHJVV056ItJNY2YCZygllT9KktrMQOPPwQK1CHn-AHUOuYDyy-Ll7HPt0PbRENwKR7XJzf6fTucG1bt_85SASCPaZv36DV5454VePYOvgUMo8B4iZ27HNSfzDWdsot5bR6WRAQEYw7fUxg5UU5pZ-aWZbOsO6fr_m9Fax-Umsvju_IkAGA1Br1xg0dIP1jCmN4dZXBUQZLEsW89NS8weiqVDUBV_DtQKeQ5F5Xcx7yLgXQnqO6jEKkjeUstJVkCA-K2_N40Qlh1tQhOWLo0zvJlfSFBS2_PuDTrIvVbLZ86QSfetlPPl0=&p=5&fvj=0&vjs=3
Business Intelligence Analyst / Data Scientist,World Education Services,"New York, NY",,4 days ago,2020-11-21,"This role will assist in the consolidation and consuming of all corporate data and evaluate the data to create forecasts, options for leadership via Tableau…",https://www.indeed.com/rc/clk?jk=62d25207253030d0&fccid=049a66f3ffa9366a&vjs=3
Data Scientist,Phreesia,New York State,,30+ days ago,2020-11-21,"Use NLP techniques to parse, process, and structure textual data.
Take ownership of data products and ensure they are properly tracked throughout their…",https://www.indeed.com/rc/clk?jk=994fc32d4b278715&fccid=ba70b621d4301067&vjs=3
Data Scientist,Vic.ai,New York State,,30+ days ago,2020-11-21,"Our AI eats large amounts of data.
You will own the data pipelines that feed and interact with our AI models!
You know a great data pipeline from a standard one…",https://www.indeed.com/rc/clk?jk=7d28a4f9ce71f550&fccid=7c3da355b67ba366&vjs=3
Data Scientist,Source Enterprises,"New York, NY",,30+ days ago,2020-11-21,"Stay current on modern trends and advances in data mining technology.
Extending company’s data with third party sources of information when needed.",https://www.indeed.com/rc/clk?jk=1636faa0308fd08f&fccid=1577085fc2290983&vjs=3
